id,name,base_frequencies,rate_variation,matrix_params,basefreq_params,ratevar_params,datatype,phyml_commandline,raxml_commandline,notes,ALL,ALLX,BEAST,MRBAYES,GAMMA,GAMMAI,LIEMARKOV,GAMMALG4X
66,STMTREV+F,empirical,none,0,19,0,protein,NA, -m PROTCATSTMTREV -V,,1,1,0,0,0,0,0,0
67,DUMMY+F,empirical,none,0,19,0,protein,NA, -m PROTCATDUMMY -V,,1,1,0,0,0,0,0,0
68,DUMMY2+F,empirical,none,0,19,0,protein,NA, -m PROTCATDUMMY2 -V,,1,1,0,0,0,0,0,0
69,GTR+F,empirical,none,189,19,0,protein,NA,NA,,0,0,0,1,0,0,0,0
70,LG+X,ML,none,0,19,0,protein,NA, -m PROTGAMMALGX,,0,1,0,0,0,0,0,0
71,WAG+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAWAGX,,0,1,0,0,0,0,0,0
72,MTREV+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAMTREVX,,0,1,0,0,0,0,0,0
73,DAYHOFF+X,ML,none,0,19,0,protein,NA, -m PROTGAMMADAYHOFFX,,0,1,0,0,0,0,0,0
74,DCMUT+X,ML,none,0,19,0,protein,NA, -m PROTGAMMADCMUTX,,0,1,0,0,0,0,0,0
75,JTT+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAJTTX,,0,1,0,0,0,0,0,0
76,VT+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAVTX,,0,1,0,0,0,0,0,0
77,BLOSUM62+X,ML,none,0,19,0,protein,NA, -m PROTGAMMABLOSUM62X,,0,1,0,0,0,0,0,0
78,CPREV+X,ML,none,0,19,0,protein,NA, -m PROTGAMMACPREVX,,0,1,0,0,0,0,0,0
79,RTREV+X,ML,none,0,19,0,protein,NA, -m PROTGAMMARTREVX,,0,1,0,0,0,0,0,0
80,MTMAM+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAMTMAMX,,0,1,0,0,0,0,0,0
81,MTART+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAMTARTX,,0,1,0,0,0,0,0,0
82,HIVB+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAHIVBX,,0,1,0,0,0,0,0,0
83,HIVW+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAHIVWX,,0,1,0,0,0,0,0,0
84,LG4M+X,ML,none,0,19,0,protein,NA,NA,"Advised against in the RAxML v8 Manual, so not impelemented in PF",0,0,0,0,0,0,0,0
85,LG4X+X,ML,none,6,19,0,protein,NA,NA,"Advised against in the RAxML v8 Manual, so not impelemented in PF",0,0,0,0,0,0,0,0
86,MTZOA+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAMTZOAX,,0,1,0,0,0,0,0,0
87,PMB+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAPMBX,,0,1,0,0,0,0,0,0
88,JTTDCMUT+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAJTTDCMUTX,,0,1,0,0,0,0,0,0
89,FLU+X,ML,none,0,19,0,protein,NA, -m PROTGAMMAFLUX,,0,1,0,0,0,0,0,0
90,STMTREV+X,ML,none,0,19,0,protein,NA, -m PROTGAMMASTMTREVX,,0,1,0,0,0,0,0,0
91,DUMMY+X,ML,none,0,19,0,protein,NA, -m PROTGAMMADUMMYX,,0,1,0,0,0,0,0,0
92,DUMMY2+X,ML,none,0,19,0,protein,NA, -m PROTGAMMADUMMY2X,,0,1,0,0,0,0,0,0
93,GTR+X,ML,none,189,19,0,protein,NA,NA,"Possible in theory, but not implemented in RAxML and therefore not implemented in PF",0,0,0,0,0,0,0,0
94,JC+G,equal,gamma,0,0,1,DNA," -o lr  -m 000000 -f '0.25, 0.25, 0.25, 0.25' -a e -c 4",NA,,1,1,1,1,1,0,1,1
95,K80+G,equal,gamma,1,0,1,DNA," -o lr  -m 010010 -f '0.25, 0.25, 0.25, 0.25' -a e -c 4",NA,,1,1,1,1,1,0,1,1
96,TRNEF+G,equal,gamma,2,0,1,DNA," -o lr  -m 010020 -f '0.25, 0.25, 0.25, 0.25' -a e -c 4",NA,,1,1,1,0,1,0,1,1
97,K81+G,equal,gamma,2,0,1,DNA," -o lr  -m 012210 -f '0.25, 0.25, 0.25, 0.25' -a e -c 4",NA,,1,1,0,0,1,0,1,1
98,TVMEF+G,equal,gamma,4,0,1,DNA," -o lr  -m 012314 -f '0.25, 0.25, 0.25, 0.25' -a e -c 4",NA,,1,1,0,0,1,0,0,1
99,TIMEF+G,equal,gamma,3,0,1,DNA," -o lr  -m 012230 -f '0.25, 0.25, 0.25, 0.25' -a e -c 4",NA,,1,1,0,0,1,0,0,1
100,SYM+G,equal,gamma,5,0,1,DNA," -o lr  -m 012345 -f '0.25, 0.25, 0.25, 0.25' -a e -c 4",NA,,1,1,1,1,1,0,0,1
101,F81+G,empirical,gamma,0,3,1,DNA, -o lr  -m 000000 -f e -a e -c 4,NA,,1,1,0,1,1,0,1,1
102,HKY+G,empirical,gamma,1,3,1,DNA, -o lr  -m 010010 -f e -a e -c 4,NA,,1,1,1,1,1,0,0,1
103,TRN+G,empirical,gamma,2,3,1,DNA, -o lr  -m 010020 -f e -a e -c 4,NA,,1,1,1,0,1,0,0,1
104,K81UF+G,empirical,gamma,2,3,1,DNA, -o lr  -m 012210 -f e -a e -c 4,NA,,1,1,0,0,1,0,0,1
105,TVM+G,empirical,gamma,4,3,1,DNA, -o lr  -m 012314 -f e -a e -c 4,NA,,1,1,0,0,1,0,0,1
106,TIM+G,empirical,gamma,3,3,1,DNA, -o lr  -m 012230 -f e -a e -c 4,NA,,1,1,0,0,1,0,0,1
107,GTR+G,empirical,gamma,5,3,1,DNA, -o lr  -m 012345 -f e -a e -c 4, -m GTRGAMMA,,1,1,1,1,1,0,0,1
108,F81+G+X,ML,gamma,0,3,1,DNA, -o lr  -m 000000 -f m -a e -c 4,NA,,0,1,0,0,0,0,1,0
109,HKY+G+X,ML,gamma,1,3,1,DNA, -o lr  -m 010010 -f m -a e -c 4,NA,,0,1,1,0,0,0,0,0
110,TRN+G+X,ML,gamma,2,3,1,DNA, -o lr  -m 010020 -f m -a e -c 4,NA,,0,1,1,0,0,0,0,0
111,K81UF+G+X,ML,gamma,2,3,1,DNA, -o lr  -m 012210 -f m -a e -c 4,NA,,0,1,0,0,0,0,0,0
112,TVM+G+X,ML,gamma,4,3,1,DNA, -o lr  -m 012314 -f m -a e -c 4,NA,,0,1,0,0,0,0,0,0
113,TIM+G+X,ML,gamma,3,3,1,DNA, -o lr  -m 012230 -f m -a e -c 4,NA,,0,1,0,0,0,0,0,0
114,GTR+G+X,ML,gamma,5,3,1,DNA, -o lr  -m 012345 -f m -a e -c 4, -m GTRGAMMAX,,0,1,1,0,0,0,0,0
115,LG+G,model,gamma,0,0,1,protein, -o lr  -m LG -d aa -f m -a e -c 4, -m PROTGAMMALG,,1,1,0,0,1,0,0,1
116,WAG+G,model,gamma,0,0,1,protein, -o lr  -m WAG -d aa -f m -a e -c 4, -m PROTGAMMAWAG,,1,1,1,1,1,0,0,1
117,MTREV+G,model,gamma,0,0,1,protein, -o lr  -m mtREV -d aa -f m -a e -c 4, -m PROTGAMMAMTREV,,1,1,1,1,1,0,0,1
118,DAYHOFF+G,model,gamma,0,0,1,protein, -o lr  -m Dayhoff -d aa -f m -a e -c 4, -m PROTGAMMADAYHOFF,,1,1,1,1,1,0,0,1
119,DCMUT+G,model,gamma,0,0,1,protein, -o lr  -m DCMut -d aa -f m -a e -c 4, -m PROTGAMMADCMUT,,1,1,0,0,1,0,0,1
120,JTT+G,model,gamma,0,0,1,protein, -o lr  -m JTT -d aa -f m -a e -c 4, -m PROTGAMMAJTT,,1,1,1,0,1,0,0,1
121,VT+G,model,gamma,0,0,1,protein, -o lr  -m VT -d aa -f m -a e -c 4, -m PROTGAMMAVT,,1,1,0,1,1,0,0,1
122,BLOSUM62+G,model,gamma,0,0,1,protein, -o lr  -m Blosum62 -d aa -f m -a e -c 4, -m PROTGAMMABLOSUM62,,1,1,1,1,1,0,0,1
123,CPREV+G,model,gamma,0,0,1,protein, -o lr  -m CpREV -d aa -f m -a e -c 4, -m PROTGAMMACPREV,,1,1,1,1,1,0,0,1
124,RTREV+G,model,gamma,0,0,1,protein, -o lr  -m RtREV -d aa -f m -a e -c 4, -m PROTGAMMARTREV,,1,1,0,1,1,0,0,1
125,MTMAM+G,model,gamma,0,0,1,protein, -o lr  -m MtMam -d aa -f m -a e -c 4, -m PROTGAMMAMTMAM,,1,1,0,1,1,0,0,1
126,MTART+G,model,gamma,0,0,1,protein, -o lr  -m MtArt -d aa -f m -a e -c 4, -m PROTGAMMAMTART,,1,1,0,0,1,0,0,1
127,HIVB+G,model,gamma,0,0,1,protein, -o lr  -m HIVb -d aa -f m -a e -c 4, -m PROTGAMMAHIVB,,1,1,0,0,1,0,0,1
128,HIVW+G,model,gamma,0,0,1,protein, -o lr  -m HIVw -d aa -f m -a e -c 4, -m PROTGAMMAHIVW,,1,1,0,0,1,0,0,1
129,LG4M+G,model,gamma,0,0,1,protein,NA, -m PROTGAMMALG4M,,1,1,0,0,1,0,0,1
130,LG4X+G,model,gamma,6,0,1,protein,NA,NA,"This model is not possible by definition, since the LG4X model has 4 free rate categories (i.e. they are not distributed according to a gamma distribution)",0,0,0,0,0,0,0,0
131,MTZOA+G,model,gamma,0,0,1,protein,NA, -m PROTGAMMAMTZOA,,1,1,0,0,1,0,0,1
132,PMB+G,model,gamma,0,0,1,protein,NA, -m PROTGAMMAPMB,,1,1,0,0,1,0,0,1
133,JTTDCMUT+G,model,gamma,0,0,1,protein,NA, -m PROTGAMMAJTTDCMUT,,1,1,0,0,1,0,0,1
134,FLU+G,model,gamma,0,0,1,protein,NA, -m PROTGAMMAFLU,,1,1,0,0,1,0,0,1
135,STMTREV+G,model,gamma,0,0,1,protein,NA, -m PROTGAMMASTMTREV,,1,1,0,0,1,0,0,1
136,DUMMY+G,model,gamma,0,0,1,protein,NA, -m PROTGAMMADUMMY,,1,1,0,0,1,0,0,1
137,DUMMY2+G,model,gamma,0,0,1,protein,NA, -m PROTGAMMADUMMY2,,1,1,0,0,1,0,0,1
138,GTR+G,model,gamma,189,0,1,protein,NA,NA,,0,1,0,0,0,0,0,0
139,LG+G+F,empirical,gamma,0,19,1,protein, -o lr  -m LG -d aa -f e -a e -c 4, -m PROTGAMMALGF,,1,1,0,0,1,0,0,1
140,WAG+G+F,empirical,gamma,0,19,1,protein, -o lr  -m WAG -d aa -f e -a e -c 4, -m PROTGAMMAWAGF,,1,1,0,0,1,0,0,1
141,MTREV+G+F,empirical,gamma,0,19,1,protein, -o lr  -m mtREV -d aa -f e -a e -c 4, -m PROTGAMMAMTREVF,,1,1,0,0,1,0,0,1
142,DAYHOFF+G+F,empirical,gamma,0,19,1,protein, -o lr  -m Dayhoff -d aa -f e -a e -c 4, -m PROTGAMMADAYHOFFF,,1,1,0,0,1,0,0,1
143,DCMUT+G+F,empirical,gamma,0,19,1,protein, -o lr  -m DCMut -d aa -f e -a e -c 4, -m PROTGAMMADCMUTF,,1,1,0,0,1,0,0,1
144,JTT+G+F,empirical,gamma,0,19,1,protein, -o lr  -m JTT -d aa -f e -a e -c 4, -m PROTGAMMAJTTF,,1,1,0,0,1,0,0,1
145,VT+G+F,empirical,gamma,0,19,1,protein, -o lr  -m VT -d aa -f e -a e -c 4, -m PROTGAMMAVTF,,1,1,0,0,1,0,0,1
146,BLOSUM62+G+F,empirical,gamma,0,19,1,protein, -o lr  -m Blosum62 -d aa -f e -a e -c 4, -m PROTGAMMABLOSUM62F,,1,1,0,0,1,0,0,1
147,CPREV+G+F,empirical,gamma,0,19,1,protein, -o lr  -m CpREV -d aa -f e -a e -c 4, -m PROTGAMMACPREVF,,1,1,0,0,1,0,0,1
148,RTREV+G+F,empirical,gamma,0,19,1,protein, -o lr  -m RtREV -d aa -f e -a e -c 4, -m PROTGAMMARTREVF,,1,1,0,0,1,0,0,1
149,MTMAM+G+F,empirical,gamma,0,19,1,protein, -o lr  -m MtMam -d aa -f e -a e -c 4, -m PROTGAMMAMTMAMF,,1,1,0,0,1,0,0,1
150,MTART+G+F,empirical,gamma,0,19,1,protein, -o lr  -m MtArt -d aa -f e -a e -c 4, -m PROTGAMMAMTARTF,,1,1,0,0,1,0,0,1
151,HIVB+G+F,empirical,gamma,0,19,1,protein, -o lr  -m HIVb -d aa -f e -a e -c 4, -m PROTGAMMAHIVBF,,1,1,0,0,1,0,0,1
152,HIVW+G+F,empirical,gamma,0,19,1,protein, -o lr  -m HIVw -d aa -f e -a e -c 4, -m PROTGAMMAHIVWF,,1,1,0,0,1,0,0,1
153,LG4M+G+F,empirical,gamma,0,19,1,protein,NA,NA,"Advised against in the RAxML v8 Manual, so not impelemented in PF",0,0,0,0,0,0,0,0
154,LG4X+G+F,empirical,gamma,6,19,1,protein,NA,NA,"This model is not possible by definition, since the LG4X model has 4 free rate categories (i.e. they are not distributed according to a gamma distribution)",0,0,0,0,0,0,0,0
155,MTZOA+G+F,empirical,gamma,0,19,1,protein,NA, -m PROTGAMMAMTZOAF,,1,1,0,0,1,0,0,1
156,PMB+G+F,empirical,gamma,0,19,1,protein,NA, -m PROTGAMMAPMBF,,1,1,0,0,1,0,0,1
157,JTTDCMUT+G+F,empirical,gamma,0,19,1,protein,NA, -m PROTGAMMAJTTDCMUTF,,1,1,0,0,1,0,0,1
158,FLU+G+F,empirical,gamma,0,19,1,protein,NA, -m PROTGAMMAFLUF,,1,1,0,0,1,0,0,1
159,STMTREV+G+F,empirical,gamma,0,19,1,protein,NA, -m PROTGAMMASTMTREVF,,1,1,0,0,1,0,0,1
160,DUMMY+G+F,empirical,gamma,0,19,1,protein,NA, -m PROTGAMMADUMMYF,,1,1,0,0,1,0,0,1
161,DUMMY2+G+F,empirical,gamma,0,19,1,protein,NA, -m PROTGAMMADUMMY2F,,1,1,0,0,1,0,0,1
162,GTR+G+F,empirical,gamma,189,19,1,protein,NA, -m PROTGAMMAGTR,,0,1,0,1,0,0,0,0
163,LG+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMALGX,,0,1,0,0,0,0,0,0
164,WAG+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAWAGX,,0,1,0,0,0,0,0,0
165,MTREV+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAMTREVX,,0,1,0,0,0,0,0,0
166,DAYHOFF+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMADAYHOFFX,,0,1,0,0,0,0,0,0
167,DCMUT+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMADCMUTX,,0,1,0,0,0,0,0,0
168,JTT+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAJTTX,,0,1,0,0,0,0,0,0
169,VT+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAVTX,,0,1,0,0,0,0,0,0
170,BLOSUM62+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMABLOSUM62X,,0,1,0,0,0,0,0,0
171,CPREV+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMACPREVX,,0,1,0,0,0,0,0,0
172,RTREV+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMARTREVX,,0,1,0,0,0,0,0,0
173,MTMAM+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAMTMAMX,,0,1,0,0,0,0,0,0
174,MTART+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAMTARTX,,0,1,0,0,0,0,0,0
175,HIVB+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAHIVBX,,0,1,0,0,0,0,0,0
176,HIVW+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAHIVWX,,0,1,0,0,0,0,0,0
177,LG4M+G+X,ML,gamma,0,19,1,protein,NA,NA,"Advised against in the RAxML v8 Manual, so not impelemented in PF",0,0,0,0,0,0,0,0
178,LG4X+G+X,ML,gamma,6,19,1,protein,NA,NA,"This model is not possible by definition, since the LG4X model has 4 free rate categories (i.e. they are not distributed according to a gamma distribution)",0,0,0,0,0,0,0,0
179,MTZOA+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAMTZOAX,,0,1,0,0,0,0,0,0
180,PMB+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAPMBX,,0,1,0,0,0,0,0,0
181,JTTDCMUT+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAJTTDCMUTX,,0,1,0,0,0,0,0,0
182,FLU+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMAFLUX,,0,1,0,0,0,0,0,0
183,STMTREV+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMASTMTREVX,,0,1,0,0,0,0,0,0
184,DUMMY+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMADUMMYX,,0,1,0,0,0,0,0,0
185,DUMMY2+G+X,ML,gamma,0,19,1,protein,NA, -m PROTGAMMADUMMY2X,,0,1,0,0,0,0,0,0
186,GTR+G+X,ML,gamma,189,19,1,protein,NA, -m PROTGAMMAGTRX,,0,1,0,0,0,0,0,0
187,JC+I,equal,invariant,0,0,1,DNA," -o lr  -m 000000 -f '0.25, 0.25, 0.25, 0.25' -v e -c 1",NA,,1,1,1,1,0,0,1,0
188,K80+I,equal,invariant,1,0,1,DNA," -o lr  -m 010010 -f '0.25, 0.25, 0.25, 0.25' -v e -c 1",NA,,1,1,1,1,0,0,1,0
189,TRNEF+I,equal,invariant,2,0,1,DNA," -o lr  -m 010020 -f '0.25, 0.25, 0.25, 0.25' -v e -c 1",NA,,1,1,1,0,0,0,1,0
190,K81+I,equal,invariant,2,0,1,DNA," -o lr  -m 012210 -f '0.25, 0.25, 0.25, 0.25' -v e -c 1",NA,,1,1,0,0,0,0,1,0
191,TVMEF+I,equal,invariant,4,0,1,DNA," -o lr  -m 012314 -f '0.25, 0.25, 0.25, 0.25' -v e -c 1",NA,,1,1,0,0,0,0,0,0
